sample,unit,fq1
old_miR290KO_1,old_miR290KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290/20210204.0-o24015_3_1-mir290_KO_1_R1.fastq.gz
old_miR290KO_2,old_miR290KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290/20210204.0-o24015_4_1-mir290_KO_2_R1.fastq.gz
old_miR290WT_1,old_WT,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290/20210204.0-o24015_1_1-mir290_WT_1_R1.fastq.gz
old_miR290WT_2,old_WT,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290/20210204.0-o24015_2_1-mir290_WT_2_R1.fastq.gz
WT_1,WT,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_1-WT1_CC_R1.fastq.gz
WT_2,WT,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_2-WT2_20200815_R1.fastq.gz
miR290KO_1,miR290KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_3-miR290KO1_HWP8_R1.fastq.gz
miR290KO_2,miR290KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_4-miR290KO2_CC_R1.fastq.gz
miR182KO_1,miR182KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_5-miR182KO1_Amy_R1.fastq.gz
miR182KO_2,miR182KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_6-miR182KO2_Amy_R1.fastq.gz
miR337KO_1,miR337KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_7-miR337KO1_20210330_R1.fastq.gz
miR337KO_2,miR337KO,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/mir290_182_337/20210423.A-o24559_1_8-miR337KO2_20210330_R1.fastq.gz
si_neg_1,si_neg,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_01-siPOOL_neg_1_R1.fastq.gz
si_neg_2,si_neg,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_06-siPOOL_neg_2_R1.fastq.gz
si_wiz_1,si_wiz,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_04-siPOOL_wiz_1_R1.fastq.gz
si_wiz_2,si_wiz,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_09-siPOOL_wiz_2_R1.fastq.gz
si_zic2_1,si_zic2,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_05-siPOOL_zic2_1_R1.fastq.gz
si_zic2_2,si_zic2,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_10-siPOOL_zic2_2_R1.fastq.gz
si_tfap4_1,si_tfap4,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_03-siPOOL_tfap4_1_R1.fastq.gz
si_tfap4_2,si_tfap4,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_08-siPOOL_tfap4_2_R1.fastq.gz
si_mycn_1,si_mycn,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_02-siPOOL_myc_1_R1.fastq.gz
si_mycn_2,si_mycn,/mnt/cclab_nas/Archive/RNA-seq/moritz_quant-seq/siPOOL/20210428.A-o24681_1_07-siPOOL_myc_2_R1.fastq.gz
